Data,Acompanhamentos,Prato Principal,Guarnição,Salada,Sobremesa,Refresco,Extra,Nota Técnica
2018-04-19,ARROZ INTEGRAL E FEIJÃO,Macarrão integral ao sugo,-----,Alface,Banana nanica,Limão,PÃO E CAFÉ,Contém glúten no pão e no macarrão integral ao sugo.
2018-04-23,ARROZ INTEGRAL E FEIJÃO,Feijão Branco com legumes,Chuchu refogado,Beterraba ralada,Laranja pera,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-04-26,ARROZ INTEGRAL E FEIJÃO,PTS xadrez,-----,Almeirão com cenoura,Laranja,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-02,ARROZ INTEGRAL E FEIJÃO,Polenta ao molho de lentilha,------,Repolho bicolor,Maçã,Acerola,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-03,ARROZ INTEGRAL E FEIJÃO,Grão de bico xadrez,Escarola refogada,Acelga,Melancia,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-04,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,Farofa,Alface,Tangerina ponkan,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-07,ARROZ INTEGRAL E FEIJÃO,Grão de bico xadrez,Quibebe,Couve,Laranja pera,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-08,ARROZ INTEGRAL E FEIJÃO,Polenta ao molho de lentilha,-----,Almeirão,Maçã,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-09,ARROZ INTEGRAL E FEIJÃO,Proteína em cubos com legumes,-----,Alface,Banana nanica,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-10,ARROZ INTEGRAL E FEIJÃO,Lentilha com Legumes,------,Acelga,Maçã,Cajú,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-11,ARROZ INTEGRAL E FEIJÃO,yakisoba vegetariano,Quibebe,Alface,Banana nanica,Uva,PÃO E CAFÉ,Contém glúten no pão e na yakisoba vegetariano Não contem lactose.
2018-05-14,ARROZ INTEGRAL E FEIJÃO,Proteína com legumes,-----,Abobrinha cozida,Maçã,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-15,ARROZ INTEGRAL E FEIJÃO,Macarrão integral à primavera,-----,Batata com cenoura,Laranja pera,Acerola,PÃO E CAFÉ,Contém glúten no pão e no macarrão integral à primavera. Não contém lactose.
2018-05-17,ARROZ INTEGRAL E FEIJÃO,Proteína em cubos com legumes,--------,Escarola,Maçã,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-18,ARROZ INTEGRAL E FEIJÃO,Strogonoff vegetariano,Batata refogada,Alface,Abacaxi,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-21,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,-----,Couve,Tangerina ponkan,Abacaxí,PÃO E CAFÉ,Contém glúten no pão.Não contém lactose.
2018-05-22,ARROZ INTEGRAL E FEIJÃO,Grão de bico com legumes,Chuchu refogado,Repolho,Melancia,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-05-23,ARROZ INTEGRAL E FEIJÃO,Macarrão integral ao sugo com abobrinha ralad,Escarola refogada,Acelga,Maçã,Cajú,PÃO E CAFÉ,Contém glúten no pão e no macarrão integral ao sugo com abobrinha ralada. Não contém lactose.
2018-05-25,ARROZ INTEGRAL E FEIJÃO,Feijoada vegetariana,Couve refogada,Vinagrete,Laranja pera,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-05,ARROZ INTEGRAL E FEIJÃO,Proteína em cubos com legumes,-,Acelga com beterraba,Laranja,Limão,PÃO E CAFÉ,"Contém glúten no pão. Não contém lactose. 05 DE JUNHO, ALMOÇO SEM COPO DESCARTÁVEL ! TRAGA SUA CANECA !!!"
2018-06-06,ARROZ INTEGRAL E FEIJÃO,Yakissoba vegetariano,Abobrinha refogada,Agrião com pepino,Doce de figo,Uva,PÃO E CAFÉ,Contém glúten no pão e no yakissoba vegetariano. Não contém lactose.
2018-06-07,ARROZ INTEGRAL E FEIJÃO,Ervilha com legumes,-,Repolho / Chuchu cozido,Banana,Manga,PÃO E CAFÉ,"Contém glúten no pão. Não contém lactose. ALMOÇO 08 DE JUNHO, ALMOÇO SEM COPO DESCARTÁVEL ! TRAGA SUA CANECA !!!"
2018-06-11,ARROZ INTEGRAL E FEIJÃO,PTS com legumes,-,Repolho misto,Maçã,Caju,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-12,ARROZ INTEGRAL E FEIJÃO,Polenta ao molho de lentilha,Quibebe,Alface,Maçã,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-13,ARROZ INTEGRAL E FEIJÃO,Soja com legumes,Batata refogada,Pepino,Laranja,Acerola,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-14,ARROZ INTEGRAL E FEIJÃO,Grão de bico à chinesa,-,Berinjela à escabeche,Laranja,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-15,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,-,Almeirão,Maçã,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-18,ARROZ INTEGRAL E FEIJÃO,Grão de bico com legumes,Legumes refogados,Alface,Laranja,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-19,ARROZ INTEGRAL E FEIJÃO,Strogonoff vegetariano,Batata refogada,Beterraba ralada,Maçã,Caju,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-20,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,-,Tabule,Laranja,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-21,ARROZ INTEGRAL E FEIJÃO,Macarrão primavera,-,Cenoura ralada,Banana,Maracujá,PÃO E CAFÉ,Contém glúten no pão e no macarrão primavera. Não contém lactose.
2018-06-25,ARROZ INTEGRAL E FEIJÃO,Polenta com molho de lentilha,Escarola refogada,Almeirão,Melancia,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-26,ARROZ INTEGRAL E FEIJÃO,Quibe de berinjela com cenoura,-,Mista verde,Maçã,Laranja,PÃO E CAFÉ,Contém glúten no pão e no quibe de berinjela com cenoura. Não contém lactose.
2018-06-27,ARROZ INTEGRAL E FEIJÃO,Strogonoff vegetariano,Batata refogada,Escarola,Maçã,Acerola,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-28,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,Espinafre refogado,Cenoura ralada,Laranja,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-06-29,ARROZ INTEGRAL E FEIJÃO,Feijoada vegetariana,Couve refogada,Vinagrete,Laranja,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-02,ARROZ INTEGRAL E FEIJÃO,Soja com legumes,------,Cenoura ralada com vinagrete,Maçã,Abacaxí,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-03,ARROZ INTEGRAL E FEIJÃO,Yakisoba vegetariano,Acelga refogada,Alface,Melancia,Uva,PÃO E CAFÉ,Contém glúten no pão e no yakissoba vegetariano. Não contém lactose.
2018-07-04,ARROZ INTEGRAL E FEIJÃO,Proteína em cubos com legumes,-,Repolho,Laranja,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-05,ARROZ INTEGRAL E FEIJÃO,Grão de bico com legumes,Batata refogada,Almeirão,Banana,Caju,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-06,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,-,Couve,Banana,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-11,ARROZ INTEGRAL E FEIJÃO,Grão de bico xadrez,-,Alface com rabanete e cenoura,Banana,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-12,ARROZ INTEGRAL E FEIJÃO,Polenta ao molho de lentilha,-,Beterraba cozida com milho,Abacaxi,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-13,ARROZ INTEGRAL E FEIJÃO,PTS com legumes,Legumes misto,Escarola,Maçã,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-16,ARROZ INTEGRAL E FEIJÃO,Proteína em cubos com legumes,-,Repolho misto,Maçã,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-17,ARROZ INTEGRAL E FEIJÃO,Macarrão primavera vegetariano,-,Pepino,Laranja,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-18,ARROZ INTEGRAL E FEIJÃO,Quibe de berinjela com cenoura,Chuchu refogado,Acelga com agrião,Banana,Uva,PÃO E CAFÉ,Contém glúten no pão e no quibe de berinjela com cenoura. Não contém lactose.
2018-07-19,ARROZ INTEGRAL E FEIJÃO,Torta de soja e aveia,-,Alface,Maçã,Caju,PÃO E CAFÉ,Contém glúten no pão e na torta de soja e aveia. Não contém lactose.
2018-07-20,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,-,Couve,Melancia,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-23,ARROZ INTEGRAL E FEIJÃO,Strogonoff vegetariano,Batata refogada,Almeirão,Maçã,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-24,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,Espinafre refogado,Alface com azeitona e palmito,Abacaxi,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-25,ARROZ INTEGRAL E FEIJÃO,Proteína em cubos com legumes,-,Escarola,Melancia,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-26,ARROZ INTEGRAL E FEIJÃO,Soja xadrez,-,Acelga com repolho roxo,Maçã,Acerola,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-27,ARROZ INTEGRAL E FEIJÃO,Feijoada vegetariana,Couve refogada,Tomate com cebola,Laranja,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-30,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,-,Beterraba,Maçã,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-07-31,ARROZ INTEGRAL E FEIJÃO,Macarrão com lentilha e legumes,-,Alface,Banana,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-01,ARROZ INTEGRAL E FEIJÃO,Proteína em cubos com legumes,-,Acelga com cenoura,Banana,Caju,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-02,ARROZ INTEGRAL E FEIJÃO,Grão de bico com legumes,-,Tomate,Laranja,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-03,ARROZ INTEGRAL E FEIJÃO,Torta de aveia e soja,-,Repolho bicolor,Maçã,Laranja,PÃO E CAFÉ,Contém glúten no pão e na torta de aveia e soja. Não contém lactose.
2018-08-06,ARROZ INTEGRAL E FEIJÃO,Quibe de berinjela com cenoura,Abóbora refogada,Soja com vinagrete,Laranja,Maracujá,PÃO E CAFÉ,Contém glúten no pão e no quibe de berinjela com cenoura. Não contém lactose.
2018-08-07,ARROZ INTEGRAL E FEIJÃO,Macarrão integral à primavera,Abobrinha refogada,Escarola,Melancia,Acerola,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-08,ARROZ INTEGRAL E FEIJÃO,Ervilha com legumes,-,Beterraba ralada,Banana,Caju,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-09,ARROZ INTEGRAL E FEIJÃO,Strogonoff vegetariano,Batata refogada,Alface com rabanete,Maçã,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-10,ARROZ INTEGRAL E FEIJÃO,PTS com legumes,Batata doce refogada,Chuchu ao vinagrete,Maçã,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-13,ARROZ INTEGRAL E FEIJÃO,Yakissoba vegetariano,-,Almeirão com moyashi,Banana,Laranja,PÃO E CAFÉ,Contém glúten no pão e no yakissoba vegetariano. Não contém lactose.
2018-08-14,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,Berinjela refogada,Acelga com beterraba,Sagu,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-15,ARROZ INTEGRAL E FEIJÃO,Polenta ao molho de ervilha,-,Couve,Tangerina murcote,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-16,ARROZ INTEGRAL E FEIJÃO,Lentilha com legumes,Chuchu refogado,Pepino,Melancia,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-08-17,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,-,Alface,Laranja,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
